fila_excel,columna,descripcion
78,Id_cliente,ID 76 no existe en clients. Convertido a NULL.
78,linea_id,ID 3 no existe en lineas. Convertido a NULL.
79,Id_cliente,ID 77 no existe en clients. Convertido a NULL.
79,linea_id,ID 3 no existe en lineas. Convertido a NULL.
80,Id_cliente,ID 78 no existe en clients. Convertido a NULL.
80,linea_id,ID 3 no existe en lineas. Convertido a NULL.
81,Id_cliente,ID 79 no existe en clients. Convertido a NULL.
81,linea_id,ID 3 no existe en lineas. Convertido a NULL.
82,Id_cliente,ID 80 no existe en clients. Convertido a NULL.
82,linea_id,ID 3 no existe en lineas. Convertido a NULL.
83,Id_cliente,ID 81 no existe en clients. Convertido a NULL.
83,linea_id,ID 3 no existe en lineas. Convertido a NULL.
84,Id_cliente,ID 82 no existe en clients. Convertido a NULL.
84,linea_id,ID 3 no existe en lineas. Convertido a NULL.
85,Id_cliente,ID 83 no existe en clients. Convertido a NULL.
85,linea_id,ID 3 no existe en lineas. Convertido a NULL.
86,Id_cliente,ID 84 no existe en clients. Convertido a NULL.
86,linea_id,ID 3 no existe en lineas. Convertido a NULL.
87,Id_cliente,ID 85 no existe en clients. Convertido a NULL.
87,linea_id,ID 3 no existe en lineas. Convertido a NULL.
88,Id_cliente,ID 86 no existe en clients. Convertido a NULL.
88,linea_id,ID 3 no existe en lineas. Convertido a NULL.
89,Id_cliente,ID 87 no existe en clients. Convertido a NULL.
89,linea_id,ID 3 no existe en lineas. Convertido a NULL.
90,Id_cliente,ID 88 no existe en clients. Convertido a NULL.
90,linea_id,ID 3 no existe en lineas. Convertido a NULL.
91,Id_cliente,ID 89 no existe en clients. Convertido a NULL.
91,linea_id,ID 3 no existe en lineas. Convertido a NULL.
92,Id_cliente,ID 90 no existe en clients. Convertido a NULL.
92,linea_id,ID 3 no existe en lineas. Convertido a NULL.
93,Id_cliente,ID 91 no existe en clients. Convertido a NULL.
93,linea_id,ID 3 no existe en lineas. Convertido a NULL.
94,Id_cliente,ID 92 no existe en clients. Convertido a NULL.
94,linea_id,ID 3 no existe en lineas. Convertido a NULL.
95,Id_cliente,ID 93 no existe en clients. Convertido a NULL.
95,linea_id,ID 3 no existe en lineas. Convertido a NULL.
96,Id_cliente,ID 94 no existe en clients. Convertido a NULL.
96,linea_id,ID 3 no existe en lineas. Convertido a NULL.
97,Id_cliente,ID 95 no existe en clients. Convertido a NULL.
97,linea_id,ID 3 no existe en lineas. Convertido a NULL.
98,Id_cliente,ID 96 no existe en clients. Convertido a NULL.
98,linea_id,ID 3 no existe en lineas. Convertido a NULL.
99,Id_cliente,ID 97 no existe en clients. Convertido a NULL.
99,linea_id,ID 3 no existe en lineas. Convertido a NULL.
100,Id_cliente,ID 98 no existe en clients. Convertido a NULL.
100,linea_id,ID 3 no existe en lineas. Convertido a NULL.
101,Id_cliente,ID 99 no existe en clients. Convertido a NULL.
101,linea_id,ID 3 no existe en lineas. Convertido a NULL.
102,Id_cliente,ID 100 no existe en clients. Convertido a NULL.
102,linea_id,ID 3 no existe en lineas. Convertido a NULL.
103,Id_cliente,ID 101 no existe en clients. Convertido a NULL.
103,linea_id,ID 3 no existe en lineas. Convertido a NULL.
104,Id_cliente,ID 102 no existe en clients. Convertido a NULL.
104,linea_id,ID 3 no existe en lineas. Convertido a NULL.
105,Id_cliente,ID 103 no existe en clients. Convertido a NULL.
105,linea_id,ID 3 no existe en lineas. Convertido a NULL.
106,Id_cliente,ID 104 no existe en clients. Convertido a NULL.
